,from,to,distance,img_filename_from,error_code_from,is_valid_from,img_filename_to,error_code_to,is_valid_to
9417,1694,3516,0.924953,ajio/35/35_3.jpg,VALID,True,myntra/15800940/15800940_3.jpg,VALID,True
9418,953,3699,0.924948,ajio/242/242_2.jpg,VALID,True,myntra/19840234/19840234_2.jpg,VALID,True
9419,42,3731,0.924942,ajio/105/105_2.jpg,VALID,True,myntra/19840256/19840256_2.jpg,VALID,True
9420,2410,3896,0.924933,ajio/462/462_0.jpg,VALID,True,myntra/19906154/19906154_3.jpg,VALID,True
9421,3896,2410,0.924933,myntra/19906154/19906154_3.jpg,VALID,True,ajio/462/462_0.jpg,VALID,True
9422,3262,1769,0.924924,ajio/89/89_3.jpg,VALID,True,ajio/365/365_3.jpg,VALID,True
9423,2711,3710,0.924924,ajio/508/508_1.jpg,VALID,True,myntra/19840246/19840246_1.jpg,VALID,True
9424,3710,2711,0.924924,myntra/19840246/19840246_1.jpg,VALID,True,ajio/508/508_1.jpg,VALID,True
9425,3073,3846,0.924914,ajio/59/59_1.jpg,VALID,True,myntra/19906120/19906120_1.jpg,VALID,True
9426,3846,3073,0.924914,myntra/19906120/19906120_1.jpg,VALID,True,ajio/59/59_1.jpg,VALID,True
9427,1310,880,0.924891,ajio/296/296_0.jpg,VALID,True,ajio/231/231_0.jpg,VALID,True
9428,3975,3974,0.924888,myntra/19906208/19906208_2.jpg,VALID,True,myntra/19906208/19906208_1.jpg,VALID,True
9429,3974,3975,0.924888,myntra/19906208/19906208_1.jpg,VALID,True,myntra/19906208/19906208_2.jpg,VALID,True
9430,3159,3214,0.924887,ajio/73/73_0.jpg,VALID,True,ajio/82/82_0.jpg,VALID,True
9431,2026,1770,0.924881,ajio/40/40_3.jpg,VALID,True,ajio/365/365_4.jpg,VALID,True
9432,36,3313,0.924866,ajio/104/104_2.jpg,VALID,True,ajio/97/97_3.jpg,VALID,True
9433,3252,2814,0.924856,ajio/8/8_4.jpg,VALID,True,ajio/524/524_1.jpg,VALID,True
